name,brand,ingredients
They're Real! Lengthening Mascara, Benefit Cosmetics,"Water, Paraffin, Polybutene, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Beeswax (Cera Alba), Bisdiglyceryl Polyacyladipate2, C1836 Acid Triglyceride, Palmitic Acid, Stearic Acid, Triethanolamine, Vp/Eicosene Copolymer, Acacia Senegal Gum, Hydroxyethylcellulose, Phenoxyethanol, Tetrasodium Edta, Butylene Glycol, Caprylyl Glycol, Tocopheryl Acetate, Sodium Laureth12 Sulfate, Glycerin, Potassium Sorbate, Sericin, Calcium Chloride, Sodium Hyaluronate, Tilia Tomentosa Bud Extract, Citric Acid, Bht, Sorbic Acid, [+/: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ultramarines (Ci 77007), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Titanium Dioxide (Ci 77891)], N 05827/N."
They're Real! Magnet Extreme Lengthening Mascara, Benefit Cosmetics,"Aqua (Water), Cera Alba (Beeswax), Paraffin, Polybutene, Vp/Eicosene Copolymer, Glyceryl Stearate, Acrylates Copolymer, Copernicia Cerifera (Carnauba) Wax, Steareth-21, Palmitic Acid, Pvp, Stearic Acid, Silica, Pentylene Glycol, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Caprylyl Glycol, Panthenol, Hydroxyethylcellulose, Aluminum Hydroxide, Tocopheryl Acetate, Disodium Phosphate, Sodium Phosphate, Polysorbate 60. [+/-: Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)]."
Brow Microfilling Eyebrow Pen, Benefit Cosmetics,"Aqua (Water), Dipropylene Glycol, Butylene Glycol, Alcohol, Acrylates/Ethylhexyl Acrylate Copolymer, Pvp, Sodium Polyaspartate, Phenoxyethanol, Sodium Dehydroacetate, Maltodextrin, Beheneth-30, Laureth-21, Peg-11 Methyl Ether Dimethicone, Citric Acid, Xanthan Gum, Aminomethyl Propanol, Peg-60 Glyceryl Isostearate, Silica, Disodium Edta, Sodium Metaphosphate. [+/- Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1, Blue 1 Lake), Ci 75470 (Carmine), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77266 [Nano] (Black 2), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)."
Goof Proof Waterproof Easy Shape & Fill Eyebrow Pencil, Benefit Cosmetics,"Synthetic Fluorphlogopite, Stearic Acid, Hydrogenated Castor Oil, Synthetic Japan Wax, Ethylhexyl Palmitate, Cera Alba (Beeswax), Sorbitan Sesquiisostearate, Aluminum Hydroxide, Tocopherol. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891)."
The POREfessional Pore Minimizing Primer, Benefit Cosmetics,"Cyclopentasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Isononyl Isononanoate, Silica, Dimethicone Crosspolymer, Isododecane, Phenoxyethanol, Polymethyl Methacrylate, Titanium Dioxide (Ci 77891), Cyclohexasiloxane, Tocopheryl Acetate, Fragrance, Mica, Iron Oxides (Ci 77492, Ci 77491, Ci 77499), Limonene, Triethoxycaprylylsilane, Bht, N 04932/N."
Dandelion Baby-Pink Blush, Benefit Cosmetics,"Talc, Mica, Calcium Aluminum Borosilicate, Polyethylene, Magnesium Myristate, Pentaerythrityl Tetraethylhexanoate, Zinc Stearate, Octyldodecyl Stearoyl Stearate, Silica, Isopropyl Titanium Triisostearate, Phenoxyethanol, Bis-Diglyceryl Polyacyladipate-2, Squalane, Parfum (Fragrance), Lecithin, Sodium Dehydroacetate, Sodium Lauroyl Aspartate, Tocopheryl Acetate, Tocopherol, Glycine Soja (Soybean) Oil, Limonene, Bht, Retinyl Palmitate, Zinc Chloride, Linalool, Aluminum Hydroxide, Aqua (Water), Hexyl Cinnamal, Benzyl Salicylate, Citronellol, Citral, Eugenol. [+/- : Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 75470 (Carmine), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)].Disclaimer: Product ingredient listings are updated periodically. Before using a Benefit Cosmetics product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use."
Boi-ing Cakeless Full Coverage Waterproof Liquid Concealer, Benefit Cosmetics,"Aqua (Water), Cyclopentasiloxane, Butylene Glycol, Cyclohexasiloxane, Methyl Methacrylate Crosspolymer, Peg-10 Dimethicone, Trimethylsiloxysilicate, Cetyl Peg/Ppg-10/1 Dimethicone, Sodium Chloride, Disteardimonium Hectorite, Triethoxycaprylylsilane, Phenoxyethanol, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Propylene Carbonate, Biosaccharide Gum-4, Alumina, Magnesium Oxide, Alpha-Glucan Oligosaccharide, Propanediol, Algin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. [+/-: Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77891 (Titanium Dioxide)]."
Dandelion Twinkle Highlighter, Benefit Cosmetics,"Synthetic Fluorphlogopite, Silica, Boron Nitride, Cetearyl Ethylhexanoate, C12-20 Acid Peg-8 Ester, Glycerin, Squalane, Parfum (Fragrance), Dicalcium Phosphate, Caprylyl Glycol, Ethylhexylglycerin, Polysorbate 80, Potassium Sorbate, Phenoxyethanol, 1,2-Hexanediol, Xanthan Gum, Limonene, Tin Oxide, Hexylene Glycol, Hexyl Cinnamal, Benzyl Salicylate, Aqua (Water), Citronellol, Citral, Linalool, Eugenol, Cinnamyl Alcohol, Alumina, Magnesium Oxide, Tocopherol. [+/- Ci 77891 (Titanium Dioxide), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides)].Disclaimer: Product ingredient listings are updated periodically. Before using a Benefit Cosmetics product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use."
Fluff Up Brow Flexible Brow-Texturizing Wax, Benefit Cosmetics,"Candelilla Wax, Jojoba Seed Oil, Shea Butter, Aqua (Water), Synthetic Candelilla Wax, Steareth-21, Glyceryl Stearate, Butylene Glycol, Acacia Senegal Gum, Butyrospermum Parkii (Shea) Butter, Cellulose, Silica, Simmondsia Chinensis (Jojoba) Seed Oil, Dimer Dilinoleyl Dimer Dilinoleate, Cera Carnauba (Copernicia Cerifera (Carnauba) Wax), Agrania Spinosa Kernel Oil, Cetyl Alcohol, Polyglyceryl-10 Myristate, Oryza Sativa (Rice) Starch, Phenoxyethanol, Caprylyl Glycol, Sodium Benzoate, Potassium Sorbate, Arginine, Tocopherol, Chondrus Crispus Powder, Dimethicone."
The POREfessional: Super Setter Pore-Minimizing Setting Spray, Benefit Cosmetics,"Aqua (Water), Butylene Glycol, Pvp, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Caprylyl Glycol, Ppg-3 Benzyl Ether Myristate, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Peg-10 Dimethicone, Silica, Parfum (Fragrance), Limonene, Sodium Hydroxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol."
Playtint Lip & Cheek Stain, Benefit Cosmetics,"aqua (Water), Ethylhexyl Stearate, Pentylene Glycol, Butylene Glycol, Diisostearyl Malate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Phenoxyethanol, Lecithin, Polysorbate 60, Sodium Citrate, Sorbitan Isostearate, Citric Acid, Propyl Gallate. [+/-: Ci 12085 (Red 36, Red 36 Lake), Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 17200 (Red 33), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1, Blue 1 Lake), Ci 45380 (Red 21, Red 21 Lake, Red 22, Red 22 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 77163 (Bismuth Oxychloride), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)].Product ingredient listings are updated periodically. Before using a Benefit Cosmetics product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use."
The POREfessional Deep Retreat Pore-Clearing Kaolin Clay Mask, Benefit Cosmetics,"MineralRich Kaolin Clay, Sea Fennel Extract, Jojoba Seed and Plum Kernel Oils, Aqua (Water), Kaolin, Silica, Glycerin, Butylene Glycol, Pentylene Glycol, CI 77007 (Ultramarines), PEG-40 Sorbitan Peroleate, Sodium Acrylates Copolymer, Caprylic/Capric Triglyceride, CI 77499 (Iron Oxides), Hydroxyacetophenone, Lecithin, Mica, Chlorphenesin, Bisabolol, CI 77491 (Iron Oxides), Hydrogenated Vegetable Oil, Opuntia Coccinellifera Flower Extract, CI 77891 (Titanium Dioxide), Trisodium Ethylenediamine Disuccinate, Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Domestica Seed Oil, Parfum (Fragrance), Disodium Phosphate, Potassium Hydroxide, Xanthan Gum, Crithmum Maritimum Extract, 1,2-Hexanediol, Caprylyl Glycol, Tocopherol, CI 77510 (Ferric Ferrocyanide), Sodium Phosphate, Sphingolipids, Sphingomonas Ferment Extract, Tocopheryl Acetate, Citric Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Citrate."
Roller Liner Waterproof Liquid Eyeliner, Benefit Cosmetics,"Water, Methylpropanediol, Styrene/Acrylates Copolymer, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Cellulose, Peg-60 Hydrogenated Castor Oil, Coco-Glucoside, Poloxamer 407, Citric Acid, Phenoxyethanol, Potassium Sorbate, Phenylpropanol, Sodium Benzoate, Sodium Laureth-12 Sulfate, Sodium Lauryl Sulfate, Caprylyl Glycol, Sodium Dehydroacetate, BHT. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Black 2 [Nano] (Ci 77266), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891)."
Mini Gimme Brow+ Tinted Volumizing Eyebrow Gel, Benefit Cosmetics,"Water, Mica, Glyceryl Stearate, Polypropylene, Magnesium Aluminum Silicate, Peg-100 Stearate, Polyacrylamide, Phenethyl Alcohol, C13-14 Isoparaffin, Glyceryl Caprylate, Laureth-7, Panthenol, Glycerin, Silica, Althaea Officinalis Root Extract, Citric Acid, Potassium Sorbate, Sodium Benzoate. May Contain (+/-):  Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Aluminum Powder (Ci 77000), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891)."
Mini 24-HR Brow Setter Clear Brow Gel with Lamination Effect, Benefit Cosmetics,"Provitamin B5, Polymers, "
Gimme Brow+ Volumizing  Fiber Eyebrow Pencil, Benefit Cosmetics,"Silk Cotton Tree Fibers, Blended Powder Particles, Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer, Polymethyl Methacrylate, Synthetic Fluorphlogopite, Pentylene Glycol, Peg-10 Dimethicone, Caprylyl Glycol, Triethyl Citrate, Magnesium Aluminum Silicate, Phenylpropanol, Methylpropanediol, Algin, Dehydroacetic Acid, Ethylhexylglycerin, Sodium Polyacrylate, Citric Acid, Dipropylene Glycol, Glyceryl Caprylate, Cellulose, Benzyl Alcohol, Tocopherol.  [+/- Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)]. Product ingredient listings are updated periodically. Before using a Benefit Cosmetics product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use."
Mini Roller Liner Waterproof Liquid Eyeliner, Benefit Cosmetics,"Water, Methylpropanediol, Styrene/Acrylates Copolymer, Styrene/Acrylates/Ammonium Methacrylate Copolymer, Cellulose, Peg-60 Hydrogenated Castor Oil, Coco-Glucoside, Poloxamer 407, Citric Acid, Phenoxyethanol, Potassium Sorbate, Phenylpropanol, Sodium Benzoate, Sodium Laureth-12 Sulfate, Sodium Lauryl Sulfate, Caprylyl Glycol, Sodium Dehydroacetate, BHT. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Black 2 [Nano] (Ci 77266), Chromium Oxide Greens (Ci 77288), Chromium Hydroxide Green (Ci 77289), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide/Ferric Ammonium Ferrocyanide (Ci 77510), Manganese Violet (Ci 77742), Titanium Dioxide (Ci 77891)."
Mini They're Real! Magnet Extreme Lengthening Mascara, Benefit Cosmetics,"Aqua (Water), Cera Alba (Beeswax), Paraffin, Polybutene, Vp/Eicosene Copolymer, Glyceryl Stearate, Acrylates Copolymer, Copernicia Cerifera (Carnauba) Wax, Steareth-21, Palmitic Acid, Pvp, Stearic Acid, Silica, Pentylene Glycol, Phenoxyethanol, Steareth-2, Aminomethyl Propanediol, Caprylyl Glycol, Panthenol, Hydroxyethylcellulose, Aluminum Hydroxide, Tocopheryl Acetate, Disodium Phosphate, Sodium Phosphate, Polysorbate 60. [+/-: Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)]."
Squalane + Copper Peptide Rapid Plumping Serum, Biossance," Copper Peptide, Water/Aqua/Eau, Glycerin, Propanediol, Squalane, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Copper Tripeptide-1, Acmella Oleracea Extract, Ectoin, Tetrapeptide-30, Palmitoyl Hexapeptide-52, Copper PCA, Panthenol, Sodium Polyglutamate, Camellia Sinensis Leaf Extract, Aloe Barbadensis Flower Extract, Passiflora Incarnata Flower Extract, Melia Azadirachta Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Coccinia Indica Fruit Extract, Melia Azadirachta Flower Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Polyacrylate Crosspolymer-6, Acacia Senegal Gum, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Caprylyl Glycol."
Squalane + Amino Aloe Gentle Pore-Minimizing Cleanser, Biossance,"Amino Acid, Aloe Vera Leaf Juice, Moringa, Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Disodium Coco-Glucoside Citrate, Squalane, Cocoyl Proline, Moringa Oleifera Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Cymbopogon Schoenanthus Oil, Pelargonium Graveolens Oil, Salvia Sclarea (Clary) Oil, Hydrolyzed Pea Protein, Medicago Sativa (Alfalfa) Extract, Sodium Levulinate, Caramel, Magnesium Chloride, Potassium Sorbate, Sodium Gluconate, Citric Acid, Citral, Citronellol, Linalool."
Squalane + Zinc Sheer Mineral Sunscreen SPF 30 PA+++, Biossance,"Zinc Oxide, Water Lily, Sugarcane Derived Squalane, Zinc Oxide, Water, Caprylic/Capric Triglyceride, Squalane, Glycerin, Cetearyl Alcohol, Methyl Dihydroabietate, Sorbitan Olivate, Coco-Glucoside, Cetyl Palmitate, Polyglyceryl-3 Polyricinoleate, Caprylyl/Capryl Glucoside, Nymphaea Alba Flower Extract, Acacia Senegal Gum, Ethyl Ferulate, Xanthan Gum, Sodium Gluconate, Lecithin, Sodium Palmitoyl Proline, Polyhydroxystearic Acid, Ethylhexylglycerin, Phenoxyethanol, Isostearic Acid."
Squalane + 10% Lactic Acid Resurfacing Serum, Biossance,"10% Vegan Lactic Acid, Clover, SugarcaneDerived Squalane, Water/Aqua/Eau, Caprylic/Capric Triglyceride, Lactic Acid, Squalane, Glycerin, Sodium Hydroxide, Cetearyl Olivate, Propanediol, Sorbitan Olivate, Cetearyl Alcohol, Lespedeza Capitata Leaf/Stem Extract, Polyacrylate Crosspolymer-6, Acacia Senegal Gum, Sodium Gluconate, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Lavandula Angustifolia (Lavender) Oil, Linalool."
Squalane + Marine Algae Firming & Lifting Eye Cream, Biossance,"Marine Algae Complex, Paracress Extract, SugarcaneDerived Squalane, Water, Caprylic/Capric Triglyceride, Squalane, Glycerin, Sorbitan Olivate, Cetearyl Olivate, Jojoba Esters, Glyceryl Stearate SE, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetyl Palmitate, Spilanthes Acmella Flower Extract, Palmitoyl Tripeptide-5, Sorbitan Palmitate, Dunaliella Salina Extract, Astaxanthin, Sodium Hyaluronate, Phenoxyethanol, Ethylhexylglycerin, Tocopherol, Citric Acid."
Squalane + BHA Pore-Minimizing Toner, Biossance," White Willow Bark Extract, "
Squalane + 10% Vitamin C Dark Spot Serum, Biossance,"Vitamin C 10%, White Shiitake Mushroom Extract, Licorice Root Extract, Water/Aqua/Eau, Glycerin, 3-O-Ethyl Ascorbic Acid, Squalane, Lentinus Edodes Mycelium Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Hyaluronate, Citric Acid, Polyacrylate Crosspolymer-6, Acacia Senegal Gum, Xanthan Gum, Sodium Gluconate, Sodium Citrate, Phenoxyethanol, Ethylhexylglycerin."
Squalane + Caffeine Toning Body Cream, Biossance,"Caffeine from Green Coffee Beans, Niacinamide, SugarcaneDerived Squalane, Water/Aqua/Eau, Squalane, Caprylic/Capric Triglyceride, Glycerin, Sorbitan Olivate, Cetearyl Olivate, Jojoba Esters, Behenyl Alcohol, Cetyl Palmitate, Caffeine, Niacinamide, Plankton Extract, Sorbitan Palmitate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Tocopherol, Sodium Gluconate, Ethylhexylglycerin, Phenoxyethanol, Citric Acid."
Squalane + Peptide Brightening & De-Puffing Eye Gel, Biossance,"Acetyl Tetrapeptide5 and Acetyl Hexapeptide8, Caffeine, SugarcaneDerived Squalane, Water/Aqua, Aloe Barbadensis Leaf Juice, Squalane, Niacinamide, Glycerin, Panthenol, Chondrus Crispus Extract, Malus Domestica Fruit Cell Culture Extract, Acetyl Tetrapeptide-5, Acetyl Hexapeptide-8, Tocopherol, Pentylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Tetrahexyldecyl Ascorbate, Camellia Sinensis Leaf Extract, Lycium Barbarum (Goji) Fruit Extract, Lycopene, Vitis Vinifera (Grape) Skin Extract, Sodium Hyaluronate, Caffeine, Acacia Senegal Gum, Dimethicone Crosspolymer, Xanthan Gum, Carbomer, Ethyl Lauroyl Arginate HCL, Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Silica, Phenoxyethanol, Potassium Sorbate, Citric Acid, Caprylyl Glycol."
Squalane + Retinol Night Serum, Biossance,"Encapsulated Retinol + Retinal, SugarcaneDerived Squalane, Rosemary + Saffron, Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Retinol, Retinal, Allantoin, Crocus Sativus Stigma Extract, Pseudozyma Epicola/Evening Primrose Oil Ferment Extract, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Oryza Sativa (Rice) Bran Extract, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Extract, Hydroxyapatite, Dextrin, Carbomer, Sodium Gluconate, Phenoxyethanol, Ethylhexylglycerin, Sodium Hydroxide."
Squalane + Enzyme Sugar Body Scrub, Biossance,"Pomegranate Enzyme, Sugar Crystals, SugarcaneDerived Squalane, Sucrose, Glycerin, Water/Aqua/Eau, Squalane, Cetearyl Olivate, Sorbitan Olivate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Rosa Canina (Rosehip) Seed Oil, Rosa Gallica (Rose) Flower Powder, Vaccinium Macrocarpon (Cranberry) Fruit Powder, Propanediol, Citrus Aurantium Dulcis (Orange) Peel Oil, Leuconostoc/Radish Root Ferment Filtrate, Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil, Xanthan Gum, Anthemis Nobilis Flower Oil, Ethylhexylglycerin, Potassium Sorbate, Mica, Limonene, Linalool, Iron Oxide (CI 77491)."
Squalane + Omega Repair Deep Hydration Moisturizer, Biossance,"Ceramides and Fatty Acids, Hyaluronic Acid, SugarcaneDerived Squalane, Water, Squalane, Glycerin, Caprylic/Capric Triglyceride, Isoamyl Laurate, Butyrospermum Parkii (Shea) Butter, Sorbitan Olivate, Cetearyl Olivate, Ceramide NP, Jojoba Esters, Sodium Hyaluronate, Euterpe Oleracea Sterols, Linoleic Acid, Oleic Acid, Linolenic Acid, Ethyl Linoleate, Tocopherol, Isoamyl Cocoate, Cetyl Palmitate, Sorbitan Palmitate, Cetearyl Alcohol, Ethylhexylglycerin, Carbomer, Sodium Hydroxide, Phenoxyethanol, Sodium Gluconate."
Squalane + Vitamin C Rose Firming Oil, Biossance,"Advanced Vitamin C (THD Ascorbate), SugarcaneDerived Squalane, Chios Crystal Oil, Squalane, Tetrahexyldecyl Ascorbate, Caprylic/Capric Triglyceride , Pistacia Lentiscus (Mastic) Gum, Rosa Damascena Flower Extract, Geraniol, Citronellol."
Squalane + Probiotic Balancing Gel Moisturizer, Biossance,"Probiotics, Ginger Extract, Red Seaweed, Water/Aqua, Squalane, Glycerin, Dimethicone, Pentylene Glycol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Lactococcus Ferment Lysate, Caprylic/Capric Triglyceride, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Chrondrus Crispus Extract, Allantoin, Bisabolol, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Sodium Phytate, Lechithin, Sodium Hydroxide, Sodium Hyaluronate, Lactic Acid, Lepidium Sativum Sprout Extract, Sodium Chloride, Sodium Benzoate, Citric Acid, Zingiber Officinale (Ginger) Root Extract."
Squalane + Antioxidant Makeup Removing Cleansing Oil, Biossance,"8 PlantDerived Oils and Extracts, SugarcaneDerived Squalane, SugarcaneDerived Hemisqualane, Caprylic/Capric Triglyceride, Polyglyceryl-2 Caprate, Squalane, Hydrogenated Farnesene, Polyglyceryl-2 Sesquioleate, Triethylhexanoin, Citrus Aurantium Dulcis (Orange) Oil, Lavandula Angustifolia (Lavender) Oil, Rosa Moschata Seed, Oil, Avena Sativa (Oat) Kernel Oil, Oenothera Biennis, (Evening Primrose) Oil, Moringa Oleifera Seed Oil, Lavandula Hybrida Oil, Rosmarinus Officinalis (Rosemary), Leaf Extract, Anthemis Nobilis Flower Oil, Helianthus, Annuus (Sunflower) Seed Oil, Tocopherol, Limonene, Linalool."
Squalane + Hyaluronic Toning Mist, Biossance,"MultiMineral Complex, SugarcaneDerived Squalane, Green Algae, Water, Polyglyceryl-10 Laurate, Glyceryl Citrate/Lactate/Linoleate/Oleate, Squalane, Glycerin, Panthenol, Sodium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Enteromorpha Compressa Extract, Lysine, Magnesium Chloride, Sodium Chloride, Potassium Chloride, Zinc Chloride, Pyrus Malus (Apple) Fruit Extract, Lavandula Angustifolia (Lavender) Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Pelargonium Graveolens Flower Oil, Sodium Stearoyl Glutamate, Polyglyceryl-4 Cocoate, Polyglyceryl-3 Caprate, Glyceryl Caprylate, Tetrasodium Glutamate Diacetate, Citric Acid, Caprylyl Glycol, Ethylhexylglycerin, Phenoxyethanol, Hexylene Glycol, Limonene, Citronellol, Geraniol, Linalool."
Mini Squalane + Vitamin C Rose Firming Oil, Biossance," Advanced Vitamin C (THD Ascorbate),  SugarcaneDerived Squalane,  Chios Crystal Oil, Squalane, Pistacia Lentiscus (Mastic) Gum, Rosa Damascena Flower Extract, Tetrahexyldecyl Ascorbate, Caprylic/Capric Triglyceride, Geraniol, Citronellol."
100% Sugarcane Squalane Oil, Biossance,"SugarcaneDerived Squalane 100%, Squalane Oil."
Squalane + Vitamin C Rose Brightening Moisturizer, Biossance,"Fermented Lemon Peel, Advanced Vitamin C (THD Ascorbate), SugarcaneDerived Squalane, Water/Aqua/Eau, Squalane, Glycerin, Caprylic/Capric Triglyceride, Isoamyl Laurate, Cetearyl Olivate, Sorbitan Olivate, Tetrahexyldecyl Ascorbate, Lactobacillus/Lemon Peel Ferment Extract, Tocopherol, Glyceryl Stearate SE, Rosa Damascena Flower Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Leuconostoc/Radish Root Ferment Filtrate, Cetyl Alcohol, Acacia Senegal Gum, Xanthan Gum, Ethylhexylglycerin, Phytic Acid, Sodium Gluconate, Phenoxyethanol, Citric Acid, Sodium Hydroxide, Citronellol, Iron Oxide (CI 77491)."
